number,value,state,params_attention_head_size,params_attention_head_size_v2,params_dropout,params_gradient_clip_val,params_hidden_continuous_size,params_hidden_continuous_size_v2,params_hidden_size,params_hidden_size_v2,params_learning_rate,user_attrs_Directional_Accuracy,user_attrs_F1_Up,user_attrs_best_checkpoint,user_attrs_effective_attention_head_size,user_attrs_effective_hidden_continuous_size,user_attrs_effective_hidden_size,user_attrs_effective_precision,user_attrs_hidden_continuous_size_adjusted_from,datetime_start,datetime_complete
49,,RUNNING,4.0,,0.1752179345047597,0.26817967342027055,24.0,,48.0,,0.0018606597246921,,,,,,,,,2026-04-10 08:45:43.714695,
50,,RUNNING,4.0,,0.1752179345047597,0.26817967342027055,24.0,,48.0,,0.0018606597246921,,,,,,,,,2026-04-10 08:46:38.831761,
51,,RUNNING,4.0,,0.1752179345047597,0.26817967342027055,24.0,,48.0,,0.0018606597246921,,,,,,,,,2026-04-10 08:47:05.251128,
52,,RUNNING,4.0,,0.1752179345047597,0.26817967342027055,24.0,,48.0,,0.0018606597246921,,,,,,,,,2026-04-10 08:47:31.198135,
53,,RUNNING,4.0,,0.1752179345047597,0.26817967342027055,24.0,,48.0,,0.0018606597246921,,,,,,,,,2026-04-10 08:47:59.998807,
54,0.007178314030170441,COMPLETE,4.0,,0.1752179345047597,0.26817967342027055,24.0,,48.0,,0.0018606597246921,,,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00054/checkpoints/best-epoch000-valloss0.007178.ckpt,,,,bf16-mixed,,2026-04-10 08:52:37.879132,2026-04-10 08:54:26.124349
55,0.007155001629143953,COMPLETE,1.0,,0.13212474874041946,0.4665025629824473,32.0,,16.0,,0.0009940325127352323,,,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00055/checkpoints/best-epoch004-valloss0.007155.ckpt,,,,bf16-mixed,32.0,2026-04-10 08:54:26.292320,2026-04-10 08:57:03.644597
56,0.00716154370456934,COMPLETE,4.0,,0.11380007218190191,0.19880983046363526,24.0,,16.0,,0.0012142092341690346,,,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00056/checkpoints/best-epoch003-valloss0.007162.ckpt,,,,bf16-mixed,24.0,2026-04-10 08:57:03.822812,2026-04-10 08:58:36.385529
57,0.007199574261903763,PRUNED,2.0,,0.1574125486433875,0.13451045797224767,24.0,,48.0,,0.000829023360000427,,,,,,,,,2026-04-10 08:58:36.576903,2026-04-10 09:00:21.450285
58,0.007195150479674339,PRUNED,2.0,,0.16510886992826837,0.25961864588709804,24.0,,48.0,,0.0008765950137333191,,,,,,,,,2026-04-10 09:01:01.720062,2026-04-10 09:02:47.859163
59,0.00716782733798027,COMPLETE,2.0,,0.14594524430967448,0.2248329245372764,24.0,,48.0,,0.0005651431725633392,,,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00059/checkpoints/best-epoch001-valloss0.007168.ckpt,,,,bf16-mixed,,2026-04-10 09:03:28.115736,2026-04-10 09:05:39.660585
60,0.007158724591135979,COMPLETE,2.0,,0.19706221792216194,0.34664444829715824,24.0,,48.0,,0.0015681034755770928,,,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00060/checkpoints/best-epoch001-valloss0.007159.ckpt,,,,bf16-mixed,,2026-04-10 09:05:39.826693,2026-04-10 09:07:26.598929
61,0.007177486550062895,COMPLETE,2.0,,0.1768909032194964,0.3004071378370731,24.0,,48.0,,0.0009345884130938793,,,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00061/checkpoints/best-epoch003-valloss0.007177.ckpt,,,,bf16-mixed,,2026-04-10 09:07:26.764269,2026-04-10 09:09:12.731131
62,0.00720519432798028,PRUNED,4.0,,0.22405364702864045,0.2589193387531331,24.0,,16.0,,0.0007458070674811646,,,,,,,,24.0,2026-04-10 09:09:12.899479,2026-04-10 09:10:46.036740
63,0.0071506863459944725,COMPLETE,8.0,,0.10066198490935332,0.4060743944601982,24.0,,32.0,,0.0025039225676286468,,,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00063/checkpoints/best-epoch003-valloss0.007151.ckpt,,,,bf16-mixed,,2026-04-10 09:11:26.293603,2026-04-10 09:13:18.087090
64,0.007197989616543055,PRUNED,4.0,,0.12894716818649588,0.19798847902423336,16.0,,48.0,,0.00038442773326527224,,,,,,,,,2026-04-10 09:13:18.250863,2026-04-10 09:15:06.159794
65,0.007228451315313578,PRUNED,2.0,,0.14422255390802946,0.7041132706154968,24.0,,16.0,,0.0002716589188431597,,,,,,,,24.0,2026-04-10 09:15:46.418839,2026-04-10 09:17:17.834592
66,0.007182098925113678,PRUNED,4.0,,0.11597244927161764,0.5513113138801301,32.0,,16.0,,0.0006431181487549488,,,,,,,,32.0,2026-04-10 09:17:58.102739,2026-04-10 09:19:31.014534
67,0.007166760973632336,COMPLETE,1.0,,0.2138381686544061,0.12043215888364794,24.0,,48.0,,0.001246186680931525,,,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00067/checkpoints/best-epoch003-valloss0.007167.ckpt,,,,bf16-mixed,,2026-04-10 09:20:11.281139,2026-04-10 09:21:56.052073
68,0.007163285743445158,COMPLETE,4.0,,0.16049403861162456,0.23468103036480797,8.0,,64.0,,0.00040851047368793957,,,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00068/checkpoints/best-epoch003-valloss0.007163.ckpt,,,,bf16-mixed,,2026-04-10 09:21:56.222790,2026-04-10 09:23:43.785019
69,0.007172705605626106,COMPLETE,4.0,,0.11266235686321188,0.17016119322804713,8.0,,64.0,,0.0005212673661961984,,,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00069/checkpoints/best-epoch003-valloss0.007173.ckpt,,,,bf16-mixed,,2026-04-10 09:23:43.956392,2026-04-10 09:25:31.896678
70,0.007172161713242531,COMPLETE,4.0,,0.1252017651900559,0.2918037431546731,8.0,,64.0,,0.0006278956618029221,,,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00070/checkpoints/best-epoch002-valloss0.007172.ckpt,,,,bf16-mixed,,2026-04-10 09:25:32.067045,2026-04-10 09:27:19.608381
71,0.00718436436727643,PRUNED,4.0,,0.13768916313080914,0.3595356361744598,24.0,,64.0,,0.0010390626146414108,,,,,,,,,2026-04-10 09:27:19.775846,2026-04-10 09:29:07.818814
72,0.007234128657728434,PRUNED,4.0,,0.1842481792018813,0.25639318963008284,24.0,,16.0,,0.0007690139919332374,,,,,,,,24.0,2026-04-10 09:29:48.120034,2026-04-10 09:31:21.673165
73,0.00718244444578886,PRUNED,4.0,,0.16798945503986268,0.22078313754251716,16.0,,16.0,,0.0008967871629043842,,,,,,,,,2026-04-10 09:32:01.935045,2026-04-10 09:33:35.376384
74,0.007271321956068277,PRUNED,8.0,,0.15539544540626216,0.3351042753468795,24.0,,64.0,,0.0003262415144805435,,,,,,,,,2026-04-10 09:34:15.641322,2026-04-10 09:36:08.724793
75,0.007187743671238422,PRUNED,4.0,,0.12060923822554037,0.3036923903059101,8.0,,16.0,,0.0004537359853807837,,,,,,,,,2026-04-10 09:36:48.978129,2026-04-10 09:38:35.956476
76,0.007215788122266531,PRUNED,2.0,,0.14625497647207747,0.17586507337442486,32.0,,48.0,,0.005844458487288992,,,,,,,,,2026-04-10 09:39:16.220163,2026-04-10 09:41:02.519167
77,0.0071792216040194035,PRUNED,4.0,,0.1356652200243917,0.10233562053836912,24.0,,32.0,,0.0013796587024452096,,,,,,,,,2026-04-10 09:41:42.785363,2026-04-10 09:43:31.135240
78,0.007257060147821903,PRUNED,8.0,,0.10846877650675028,0.40882625611656137,24.0,,32.0,,0.0024630522395257533,,,,,,,,,2026-04-10 09:44:11.399232,2026-04-10 09:46:03.242219
79,0.007191183511167765,PRUNED,8.0,,0.10308638435883063,0.4392003471382244,24.0,,32.0,,0.0017697381328839192,,,,,,,,,2026-04-10 09:46:43.510774,2026-04-10 09:48:35.485264
80,0.007186403032392263,PRUNED,8.0,,0.10075060492604093,0.3796256903937995,24.0,,32.0,,0.004460172480172023,,,,,,,,,2026-04-10 09:49:15.763893,2026-04-10 09:51:07.308592
81,0.007244579028338194,PRUNED,8.0,,0.12559522415547641,0.2800133771581998,24.0,,32.0,,0.009341475844811398,,,,,,,,,2026-04-10 09:51:47.568512,2026-04-10 09:53:39.900653
82,0.007126861717551947,COMPLETE,8.0,,0.11536353696570466,0.40588702880389804,24.0,,32.0,,0.0006874687500349033,,,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00082/checkpoints/best-epoch003-valloss0.007127.ckpt,,,,bf16-mixed,,2026-04-10 09:54:20.161702,2026-04-10 09:56:11.795272
83,0.0072093019261956215,PRUNED,4.0,,0.3519515368544841,0.3258150419629607,24.0,,16.0,,0.0007177303398198693,,,,,,,,24.0,2026-04-10 09:56:11.976015,2026-04-10 09:57:45.001242
84,0.007162457797676325,COMPLETE,1.0,,0.17353047345219716,0.2008575178803625,8.0,,48.0,,0.0011250876899617363,,,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00084/checkpoints/best-epoch002-valloss0.007162.ckpt,,,,bf16-mixed,,2026-04-10 09:58:25.296074,2026-04-10 10:00:10.041454
85,0.007198233623057604,PRUNED,4.0,,0.1909917409035401,0.3513342797778029,24.0,,64.0,,0.0006065089163088854,,,,,,,,,2026-04-10 10:00:10.210378,2026-04-10 10:01:57.971373
86,0.0072075617499649525,PRUNED,2.0,,0.15108318999113055,0.14692403577348823,24.0,,16.0,,0.0005319471273967151,,,,,,,,24.0,2026-04-10 10:02:38.248521,2026-04-10 10:04:09.727472
87,0.0071718390099704266,COMPLETE,4.0,,0.1332894036136703,0.25987829606519836,24.0,,48.0,,0.0008261733374771488,,,/home/mveen/Desktop/S26/INLP/root/artifacts/tft_tune/window_7/trials/trial_00087/checkpoints/best-epoch003-valloss0.007172.ckpt,,,,bf16-mixed,,2026-04-10 10:04:50.014294,2026-04-10 10:06:38.112382
